,Env,Learning Freq.,Target Update Freq.,Step Size,Buffer Size,Num Episodes,Algorithm
0,CartPole-v1,1,1,0.0005,10000,362.51000000000005,"FFN, 10"
1,CartPole-v1,1,1,0.0005,100000,367.69,"FFN, 10"
2,CartPole-v1,1,1,0.005,10000,269.42999999999995,"FFN, 10"
3,CartPole-v1,1,1,0.005,100000,261.21,"FFN, 10"
4,CartPole-v1,1,1,5e-05,10000,483.95,"FFN, 10"
5,CartPole-v1,1,1,5e-05,100000,471.93,"FFN, 10"
6,CartPole-v1,1,10,0.0005,10000,367.96,"FFN, 10"
7,CartPole-v1,1,10,0.0005,100000,431.55,"FFN, 10"
8,CartPole-v1,1,10,0.005,10000,351.51,"FFN, 10"
9,CartPole-v1,1,10,0.005,100000,339.31000000000006,"FFN, 10"
10,CartPole-v1,1,10,5e-05,10000,480.8,"FFN, 10"
11,CartPole-v1,1,10,5e-05,100000,431.1700000000001,"FFN, 10"
12,CartPole-v1,1,100,0.0005,10000,388.15999999999997,"FFN, 10"
13,CartPole-v1,1,100,0.0005,100000,437.35,"FFN, 10"
14,CartPole-v1,1,100,0.005,10000,294.1,"FFN, 10"
15,CartPole-v1,1,100,0.005,100000,354.52,"FFN, 10"
16,CartPole-v1,1,100,5e-05,10000,476.56000000000006,"FFN, 10"
17,CartPole-v1,1,100,5e-05,100000,440.66,"FFN, 10"
18,CartPole-v1,1,1000,0.0005,10000,378.0,"FFN, 10"
19,CartPole-v1,1,1000,0.0005,100000,414.6,"FFN, 10"
20,CartPole-v1,1,1000,0.005,10000,199.32999999999998,"FFN, 10"
21,CartPole-v1,1,1000,0.005,100000,284.2900000000001,"FFN, 10"
22,CartPole-v1,1,1000,5e-05,10000,441.93,"FFN, 10"
23,CartPole-v1,1,1000,5e-05,100000,283.38,"FFN, 10"
24,CartPole-v1,10,10,0.0005,10000,447.8,"FFN, 10"
25,CartPole-v1,10,10,0.0005,100000,403.18999999999994,"FFN, 10"
26,CartPole-v1,10,10,0.005,10000,229.91,"FFN, 10"
27,CartPole-v1,10,10,0.005,100000,263.19,"FFN, 10"
28,CartPole-v1,10,10,5e-05,10000,91.39999999999999,"FFN, 10"
29,CartPole-v1,10,10,5e-05,100000,120.61000000000001,"FFN, 10"
30,CartPole-v1,10,100,0.0005,10000,452.4200000000001,"FFN, 10"
31,CartPole-v1,10,100,0.0005,100000,430.9000000000001,"FFN, 10"
32,CartPole-v1,10,100,0.005,10000,404.3,"FFN, 10"
33,CartPole-v1,10,100,0.005,100000,423.7500000000001,"FFN, 10"
34,CartPole-v1,10,100,5e-05,10000,89.03,"FFN, 10"
35,CartPole-v1,10,100,5e-05,100000,129.57999999999998,"FFN, 10"
36,CartPole-v1,10,1000,0.0005,10000,393.61,"FFN, 10"
37,CartPole-v1,10,1000,0.0005,100000,253.22999999999996,"FFN, 10"
38,CartPole-v1,10,1000,0.005,10000,380.35,"FFN, 10"
39,CartPole-v1,10,1000,0.005,100000,300.39,"FFN, 10"
40,CartPole-v1,10,1000,5e-05,10000,70.3,"FFN, 10"
41,CartPole-v1,10,1000,5e-05,100000,187.57999999999998,"FFN, 10"
42,CartPole-v1,100,100,0.0005,10000,104.33000000000001,"FFN, 10"
43,CartPole-v1,100,100,0.0005,100000,144.02,"FFN, 10"
44,CartPole-v1,100,100,0.005,10000,206.85999999999999,"FFN, 10"
